_id,chinese_name,english_name,country
733,日本儿童教育专门学校,Japan College of Early Childhood Education,Japan
734,日本电子专门学校,Japan Electronics College,Japan
735,日本工学院八王子专门学校,Nippon Engineering College Hachioji,Japan
736,日本工学院专门学校,Nippon Engineering College,Japan
737,日本健康医疗专门学校,Japan College of Health and Medical Care,Japan
738,日本理工情报专门学校,Japan College of Science and Technology,Japan
739,日本外国语专门学校,Japan College of Foreign Languages,Japan
740,日商簿记三鹰福祉专门学校,Nissho Bookkeeping Mitaka Welfare College,Japan
741,日中文化艺术专门学校,Japan-China College of Culture and Arts,Japan
742,日本健康体育专门学校,Japan Wellness Sports College,Japan
743,日本酒店专门学校,Japan Hotel School,Japan
744,日产枥木自动车大学校,Nissan Tochigi Automobile College,Japan
745,日本设计师学院专门学校,Japan Designer Gakuin College,Japan
746,日本写真艺术专门学校,Nippon Photography Arts College,Japan
747,日本国际IT学院专门学校,Nihon International IT College,Japan
748,日本医科学专门学校,Nippon College of Medical Science,Japan
749,日本计算机专门学校,Nippon Computer College,Japan
750,日本福祉大学,Nippon Fukushi University,Japan
751,人类环境大学,Human Environment University,Japan
752,日本文理大学,Nippon Bunri University,Japan
753,日本综合医疗专门学校,Japan College of Holistic Medicine,Japan
754,日本福祉大学中央福祉专门学校,Nippon Fukushi University  Chuo Fukushi College,Japan
755,日本糕点专门学校,Japan Patisserie Academy,Japan
756,日本医疗福祉专门学校,Japan Medical Welfare College,Japan
757,日本福祉教育专门学校,Japan College of Social Welfare Education,Japan
758,日本大学短期大学部,Nihon University Junior College,Japan
759,日本国际工科专门学校,Nippon Institute of Technology College,Japan
760,日产京都汽车专门学校,Nissan Kyoto Automobile College,Japan
761,日本医科大学,Nippon Medical School,Japan
762,日本社会事业大学,Japan College of Social Work,Japan
763,日本兽医生命科学大学,Nippon Veterinary and Life Science University,Japan
764,日本女子大学,Japan Women's University,Japan
765,日本体育大学,Nippon Sport Science University,Japan
766,日本经济大学,Nippon University of Economics,Japan
767,神田外语大学,Kanda University of International Studies,Japan
768,淑德大学,Shukutoku University,Japan
769,圣德大学,Seitoku University,Japan
770,松荫大学,Shoin University,Japan
771,上野学园大学,Ueno Gakuen University,Japan
772,顺天堂大学,Juntendo University,Japan
773,上智大学,Sophia University,Japan
774,杉野服饰大学,Sugino Fashion College,Japan
775,圣心女子大学,University of the Sacred Heart  Tokyo,Japan
776,圣隶克里斯托弗大学,Seirei Christopher University,Japan
777,山阳学园大学,Sanyo Gakuen University,Japan
778,山口县立大学,Yamaguchi Prefectural University,Japan
779,室兰工业大学,Muroran Institute of Technology,Japan
780,山形大学,Yamagata University,Japan
781,四国大学,Shikoku University,Japan
782,四国学院大学,Shikoku Gakuin University,Japan
783,松山大学,Matsuyama University,Japan
784,山口大学,Yamaguchi University,Japan
785,上越教育大学,Joetsu University of Education,Japan
786,松山东云女子大学,Matsuyama Shinonome College,Japan
787,石卷专修大学,Ishinomaki Senshu University,Japan
788,山野美容专门学校,Yamano Beauty College,Japan
789,山野美容艺术短期大学,Yamano College of Aesthetics,Japan
790,圣路加国际大学,St. Luke's International University,Japan
791,辻厨师专门学校,Tsuji Culinary Institute,Japan
792,十文字学园女子大学,Jumonji University,Japan
793,桑泽设计研究所专门学校,Kuwasawa Design School,Japan
794,神户海星女子学院大学,Kobe Kaisei College,Japan
795,辻学园营养专门学校,Tsuji Culinary Institute College of Nutrition,Japan
796,松山学园松山福祉专门学校,Matsuyama Gakuen Matsuyama College of Welfare,Japan
797,三重大学,Mie University,Japan
798,神户大学,Kobe University,Japan
799,神奈川大学,Kanagawa University,Japan
800,神奈川工科大学,Kanagawa Institute of Technology,Japan
801,神奈川齿科大学,Kanagawa Dental University,Japan
802,圣玛丽安医科大学,St. Marianna University School of Medicine,Japan
803,事业创造大学院大学,Business Breakthrough University,Japan
804,山梨英和大学,Yamanashi Eiwa College,Japan
805,山梨学院大学,Yamanashi Gakuin University,Japan
806,松本大学,Matsumoto University,Japan
807,四天王寺大学,Shitennoji University,Japan
808,摄南大学,Setsunan University,Japan
809,神户学院大学,Kobe Gakuin University,Japan
810,神户艺术工科大学,Kobe Institute of Computing,Japan
811,神户国际大学,Kobe International University,Japan
812,神户松荫女子学院大学,Kobe Shoin Women's University,Japan
813,神户情报大学院大学,Kobe Institute of Computing Graduate School,Japan
814,神户市外国语大学,Kobe City University of Foreign Studies,Japan
815,山阳女子短期大学,Sanyo Women's College,Japan
816,山梨大学,University of Yamanashi,Japan
817,神奈川经济专门学校,Kanagawa Business College,Japan
818,上田安子服饰专门学校,Ueda Yasuko Fashion College,Japan
819,尚美音乐学院专门学校,Shobi College of Music,Japan
820,神户电子专门学校,Kobe Electronics College,Japan
821,涩谷外国语专门学校,Shibuya College of Foreign Languages,Japan
822,松本齿科大学,Matsumoto Dental University,Japan
823,山阳小野田市立山口东京理科大学,Sanyo-Onoda City University Yamaguchi Tokyo University of Science,Japan
824,上野法科商务专门学校,Ueno Hoka Business College,Japan
825,上武大学,Jobu University,Japan
826,尚美学园大学,Shobi University,Japan
827,圣学院大学,Seigakuin University,Japan
828,椙山女学园大学,Sugiyama Jogakuen University,Japan
829,四日市大学,Yokkaichi University,Japan
830,圣泉大学,Seisen University,Japan
831,山手料理糕点专门学校,Yamate Culinary and Confectionery School,Japan
832,圣玛丽外语专门学校,St. Mary's College of Foreign Languages,Japan
833,神田外语学院专门学校,Kanda Institute of Foreign Languages,Japan
834,辻学园烹饪糕点专门学校,Tsuji Culinary and Patisserie College,Japan
835,山村学园短期大学,Yamamura Gakuen Junior College,Japan
836,四日市福祉专门学校,Yokkaichi College of Social Welfare,Japan
837,神户亲和大学,Kobe Shinwa Women's University,Japan
838,水户日建工科专门学校,Mito Nikken Institute of Technology,Japan
839,神户医疗未来大学,Kobe College of Medical Welfare,Japan
840,神户甲阳音乐与舞蹈专门学校,Koyo Conservatory of Music & Dance,Japan
841,山胁美术专门学校,Yamawaki Art College,Japan
842,神户糕点专门学校,Kobe Confectionery College,Japan
843,圣德大学短期大学部,Seitoku University Junior College,Japan
844,首都医校,Shuto Ikou,Japan
845,神奈川县立保健福祉大学,Kanagawa University of Human Services,Japan
846,山梨县立大学,Yamanashi Prefectural University,Japan
847,尚絅学院大学,Shokei Gakuin University,Japan
848,数字好莱坞大学,Digital Hollywood University,Japan
849,藤田医科大学,Fujita Health University,Japan
850,桐荫横滨大学,Toin University of Yokohama,Japan
851,太成学院大学,Taisei Gakuin University,Japan
852,桃山学院大学,St. Andrew's University,Japan
853,TRIDENT外语、酒店与婚礼专门学校,Trident College of Foreign Languages  Hotel & Bridal Services,Japan
854,拓殖大学北海道短期大学,Takushoku University Hokkaido Junior College,Japan
855,同朋大学,Dobo University,Japan
856,同志社女子大学,Doshisha Women's College of Liberal Arts,Japan
857,桐朋学园大学,Toho Gakuen School of Music,Japan
858,拓殖大学,Takushoku University,Japan
859,同志社大学,Doshisha University,Japan
860,天理大学,Tenri University,Japan
861,武藏大学,Musashi University,Japan
862,武藏野大学,Musashino University,Japan
863,武藏野美术大学,Musashino Art University,Japan
864,武藏丘短期大学,Musashi丘 Junior College,Japan
865,外语商务专门学校,Gaigo Business College,Japan
866,武藏野学艺专门学校,Musashino Gakugei College,Japan
867,武藏野学院大学,Musashino Gakuin University,Japan
868,文化服装学院,Bunka Fashion College,Japan
869,文化外国语专门学校,Bunka Institute of Language,Japan
870,文教大学,Bunkyo University,Japan
871,武藏野音乐大学,Musashino Academia Musicae,Japan
872,文星艺术大学,Bunsei University of Art,Japan
873,WOC眼镜医疗技术专门学校,World Optical College,Japan
874,丸之内商务专门学校,Marunouchi Business College,Japan
875,文化学园大学,Bunka Gakuen University,Japan
876,文化时尚大学院大学,Bunka Fashion Graduate University,Japan
877,文京学院大学,Bunkyo Gakuin University,Japan
878,尾道市立大学,Onomichi City University,Japan
879,新潟大学,Niigata University,Japan
880,星药科大学,Hoshi University of Pharmacy and Pharmaceutical Sciences,Japan
881,西日本工业大学,Nishinippon Institute of Technology,Japan
882,湘南工科大学,Shonan Institute of Technology,Japan
883,香兰女子短期大学,Koran Women's Junior College,Japan
884,秀林数字与语言专门学校,Shurin Digital & Language College,Japan
885,熊本YMCA学院,Kumamoto YMCA College,Japan
886,旭川市立大学,Asahikawa University,Japan
887,相模女子大学,Sagami Women's University,Japan
888,洗足学园音乐大学,Senzoku Gakuen College of Music,Japan
889,新潟经营大学,Niigata University of Management,Japan
890,新潟工科大学,Niigata Institute of Technology,Japan
891,新潟产业大学,Niigata Sangyo University,Japan
892,新潟青陵大学,Niigata Seiryo University,Japan
893,新潟食品农业大学,Niigata University of Agriculture and Food,Japan
894,熊本工业专门学校,Kumamoto Technical College,Japan
895,熊本学园大学,Kumamoto Gakuen University,Japan
896,星槎道都大学,Seisa Dohto University,Japan
897,小诸看护专门学校,Komoro Nursing School,Japan
898,新潟康复大学,Niigata University of Rehabilitation,Japan
899,秀明大学,Shumei University,Japan
900,西日本短期大学,Nishi-Nippon Junior College,Japan
901,修成建设专门学校,Shusei Construction Technical School,Japan
902,新潟计算机专门学校,Niigata Computer College,Japan
903,香川大学,Kagawa University,Japan
904,熊本大学,Kumamoto University,Japan
905,西武文理大学,Seibu Bunri University,Japan
906,信州大学,Shinshu University,Japan
907,星城大学,Seijoh University,Japan
908,西九州大学,Nishi Kyushu University,Japan
909,信息科学专门学校,Information Science College,Japan
910,西神看护专门学校,Seishin Nursing School,Japan
911,新东京齿科技工学校,Shin Tokyo Dental Technician School,Japan
912,信息经营创新专门职大学,Information and Management Innovation College,Japan
913,仙台数字艺术专门学校,Sendai College of Digital Arts,Japan
914,穴吹西点福祉学院专门学校,Anabuki Patissier & Welfare College,Japan
915,新潟医疗福祉大学,Niigata University of Health and Welfare,Japan
916,湘南医疗福祉专门学校,Shonan College of Health and Welfare,Japan
917,香兰时尚设计专门学校,Koran Fashion Design College,Japan
918,相爱大学,Soai University,Japan
919,心医疗福利专门学校,Kokoro Medical and Welfare College,Japan
920,仙台大学,Sendai University,Japan
921,学习院大学,Gakushuin University,Japan
922,学习院女子大学,Gakushuin Women's College,Japan
923,杏林大学,Kyorin University,Japan
924,县立广岛大学,Prefectural University of Hiroshima,Japan
925,下关市立大学,Shimonoseki City University,Japan
926,熊本县立大学,Prefectural University of Kumamoto,Japan
927,小樽商科大学,Otaru University of Commerce,Japan
928,旭川医科大学,Asahikawa Medical University,Japan
929,西南学院大学,Seinan Gakuin University,Japan
930,YIC看护福祉专门学校,YIC College of Nursing and Welfare,Japan
931,约克全球商务专门学校,York Global Business Academy,Japan
932,宇都宫文星短期大学,Utsunomiya Bunsei Junior College,Japan
933,YIC京都宠物综合专门学校,YIC Kyoto Pet Technical College,Japan
934,园田学园女子大学,Sonoda Women's University,Japan
935,玉川大学,Tamagawa University,Japan
936,翼路学园,Yell Gakuen,Japan
937,宇部工业高等专门学校,Ube National College of Technology,Japan
938,艺术学院神户专门学校,Art College Kobe,Japan
939,音响艺术专门学校,Audio Arts College,Japan
940,伊丽莎白音乐大学,Elisabeth University of Music,Japan
941,羽衣国际大学,Hagoromo University of International Studies,Japan
942,宇都宫共和大学,Utsunomiya Kyowa University,Japan
943,樱花学园大学,Ohka Gakuen University,Japan
944,岩手县立大学,Iwate Prefectural University,Japan
945,阳光科技学院专门学校,Sun Techno College,Japan
946,育英馆大学,Ikueikan University,Japan
947,一桥大学,Hitotsubashi University,Japan
948,御茶水女子大学,Ochanomizu University,Japan
949,亚细亚大学,Asia University,Japan
950,樱美林大学,J. F. Oberlin University,Japan
951,宇部开拓者大学,Ube Frontier University,Japan
952,岩手大学,Iwate University,Japan
953,宇都宫大学,Utsunomiya University,Japan
954,滋庆医疗科学大学,Jikei University of Health Sciences,Japan
955,札幌大学,Sapporo University,Japan
956,中村国际酒店专门学校,Nakamura International Hotel College,Japan
957,札幌设计师学院专门学校,Sapporo Designer Gakuin College,Japan
958,专修大学,Senshu University,Japan
959,长崎外国语大学,Nagasaki University of Foreign Studies,Japan
960,中央情报经理专门学校,Chuo Joho Keiri College,Japan
961,专门学校丰田神户汽车大学校,Toyota Kobe Automobile University,Japan
962,周南公立大学,Shunan University,Japan
963,佐伯营养专门学校,Saeki Nutrition College,Japan
964,镇西学院大学,Chinzei Gakuin University,Japan
965,早稻田外语专门学校,Waseda Foreign Language College,Japan
966,早稻田国际商务专门学校,Waseda International Business College,Japan
967,专门学校东京工科汽车大学校世田谷校区,Tokyo University of Technology College of Automotive Technology Setagaya Campus,Japan
968,专门学校YIC京都工科汽车大学校,YIC Kyoto Institute of Automotive Technology,Japan
969,长冈造型大学,Nagaoka Institute of Design,Japan
970,长野县看护大学,Nagano College of Nursing,Japan
971,制作大学,Monotsukuri University,Japan
972,中央学院大学,Chuo Gakuin University,Japan
973,芝浦工业大学,Shibaura Institute of Technology,Japan
974,昭和大学,Showa University,Japan
975,昭和女子大学,Showa Women's University,Japan
976,中央大学,Chuo University,Japan
977,中京学院大学,Chukyo Gakuin University,Japan
978,中部学院大学,Chubu Gakuin University,Japan
979,中国学园大学,Chugoku Gakuen University,Japan
980,长崎县立大学,University of Nagasaki,Japan
981,至诚馆大学,Shiseikan University,Japan
982,筑紫女学园大学,Chikushi Jogakuen University,Japan
983,中村学园大学,Nakamura Gakuen University,Japan
984,长冈技术科学大学,Nagaoka University of Technology,Japan
985,追手门学院大学,Otemon Gakuin University,Japan
986,政策研究大学院大学,National Graduate Institute for Policy Studies,Japan
987,种智院大学,Shuchiin University,Japan
988,专门学校麻生工科汽车大学校,Aso College of Automotive Engineering,Japan
989,专门学校东京汽车大学校,Tokyo Automotive University,Japan
990,中部学院大学短期大学部,Chubu Gakuin University Junior College,Japan
991,专门学校盈科国际学院,EIKA International College,Japan
992,中央美术学园,Chuo Art Academy,Japan
993,早稻田大学,Waseda University,Japan
994,中央法律专门学校,Chuo Law School,Japan
995,专门学校中央农业大学校,Chuo College of Agriculture,Japan
996,足利大学,Ashikaga University,Japan
997,长野平青学园,Nagano Heisei Gakuen,Japan
998,专门学校丰田东京汽车大学校,Toyota Tokyo Automotive University,Japan
999,专门学校静冈工科汽车大学校,Shizuoka Institute of Technology Automotive College,Japan
1000,早稻田文理专门学校,Waseda Bunri Vocational School,Japan
1001,专门学校东京经理综合学院,Tokyo School of Business,Japan
1002,中央动物专门学校,Chuo College of Animal Sciences,Japan
1003,筑波学院大学,Tsukuba Gakuin University,Japan
1004,专门学校读卖自动车大学校,Yomiuri Automotive College,Japan
1005,专门学校新潟国际自动车大学校,Niigata International Automotive College,Japan
1006,筑波亚洲福祉专门学校,Tsukuba Asia Welfare College,Japan
1007,中国短期大学,Chugoku Junior College,Japan
1008,中日本航空专门学校,Nakanihon Aviation College,Japan
1009,专门学校大原汽车工科大学校,O-hara Automotive Technical College,Japan
1010,滋贺大学,Shiga University,Japan
1011,滋贺医科大学,Shiga University of Medical Science,Japan
1012,昭和音乐大学,Showa University of Music,Japan
1013,长冈大学,Nagaoka University,Japan
1014,长野大学,Nagano University,Japan
1015,滋贺县立大学,University of Shiga Prefecture,Japan
1016,佐贺女子短期大学,Saga Women's Junior College,Japan
1017,专门学校丰田名古屋汽车大学校,Toyota Nagoya Automotive University,Japan
1018,中央情报专门学校,Chuo Information College,Japan
1019,中部乐器技术专门学校,Chubu Gakki Technical College,Japan
1020,资生堂美容技术专门学校,Shiseido Academy of Beauty and Fashion,Japan
1021,长崎短期大学,Nagasaki Junior College,Japan
1022,早稻田速记医疗福祉专门学校,Waseda Soki Medical Welfare College,Japan
1023,中央工学校,Chuo College of Engineering,Japan
1024,中野商务专门学校,Nakano School of Business,Japan
1025,筑波大学,University of Tsukuba,Japan
1026,专门学校东京工科汽车大学校,Tokyo University of Technology Automotive College,Japan
1027,专门学校动漫艺术学院,Anime Art Academy,Japan
1028,折尾爱真短期大学,Orio Aishin Junior College,Japan
1029,中日本自动车短期大学,Nakanihon Automotive College,Japan
1030,佐野日本大学短期大学,Sano Nihon University Junior College,Japan
1031,专门学校日本自动车大学校,Nihon Automotive College,Japan
1032,佐贺大学,Saga University,Japan
1033,长崎大学,Nagasaki University,Japan
1034,综合研究大学院大学,The Graduate University for Advanced Studies,Japan
1035,札幌学院大学,Sapporo Gakuin University,Japan
1036,札幌国际大学,Sapporo International University,Japan
1037,作新学院大学,Sakushin Gakuin University,Japan
1038,自治医科大学,Jichi Medical University,Japan
1039,中京大学,Chukyo University,Japan
1040,中部大学,Chubu University,Japan
1041,长浜生物科技大学,Nagahama Institute of Bio-Science and Technology,Japan
1042,长崎国际大学,Nagasaki International University,Japan
1043,长崎纯心大学,Nagasaki Junshin Catholic University,Japan
1044,长崎综合科学大学,Nagasaki Institute of Applied Science,Japan
1045,志学馆大学,Shigakukan University,Japan
1046,札幌医科大学,Sapporo Medical University,Japan
1047,札幌市立大学,Sapporo City University,Japan
1048,北京大学,Peking University,China
1049,中国人民大学,Renmin University of China,China
1050,清华大学,Tsinghua University,China
1051,北京交通大学,Beijing Jiaotong University,China
1052,北京工业大学,Beijing University of Technology,China
1053,北京航空航天大学,Beihang University,China
1054,北京理工大学,Beijing Institute of Technology,China
1055,北京科技大学,University of Science and Technology Beijing,China
1056,北方工业大学,North China University of Technology,China
1057,北京化工大学,Beijing University of Chemical Technology,China
1058,北京工商大学,Beijing Technology and Business University,China
1059,北京服装学院,Beijing Institute of Fashion Technology,China
1060,北京邮电大学,Beijing University of Posts and Telecommunications,China
1061,北京印刷学院,Beijing Institute of Graphic Communication,China
1062,北京建筑大学,Beijing University of Civil Engineering and Architecture,China
1063,北京石油化工学院,Beijing Institute of Petrochemical Technology,China
1064,北京电子科技学院,Beijing Electronic Science and Technology Institute,China
1065,中国农业大学,China Agricultural University,China
1066,北京农学院,Beijing University of Agriculture,China
1067,北京林业大学,Beijing Forestry University,China
1068,北京协和医学院,Peking Union Medical College,China
1069,首都医科大学,Capital Medical University,China
1070,北京中医药大学,Beijing University of Chinese Medicine,China
1071,北京师范大学,Beijing Normal University,China
1072,首都师范大学,Capital Normal University,China
1073,首都体育学院,Capital University of Physical Education and Sports,China
1074,北京外国语大学,Beijing Foreign Studies University,China
1075,北京第二外国语学院,Beijing International Studies University,China
1076,北京语言大学,Beijing Language and Culture University,China
1077,中国传媒大学,Communication University of China,China
1078,中央财经大学,Central University of Finance and Economics,China
1079,对外经济贸易大学,University of International Business and Economics,China
1080,北京物资学院,Beijing Materials University,China
1081,首都经济贸易大学,Capital University of Economics and Business,China
1082,中国消防救援学院,China Fire and Rescue Academy,China
1083,外交学院,China Foreign Affairs University,China
1084,中国人民公安大学,Chinese People's Public Security University,China
1085,国际关系学院,University of International Relations,China
1086,北京体育大学,Beijing Sport University,China
1087,中央音乐学院,Central Conservatory of Music,China
1088,中国音乐学院,China Conservatory of Music,China
1089,中央美术学院,Central Academy of Fine Arts,China
1090,中央戏剧学院,Central Academy of Drama,China
1091,中国戏曲学院,National Academy of Chinese Theatre Arts,China
1092,北京电影学院,Beijing Film Academy,China
1093,北京舞蹈学院,Beijing Dance Academy,China
1094,中央民族大学,Minzu University of China,China
1095,中国政法大学,China University of Political Science and Law,China
1096,华北电力大学,North China Electric Power University,China
1097,中华女子学院,China Women's University,China
1098,北京信息科技大学,Beijing Information Science and Technology University,China
1099,中国矿业大学（北京）,China University of Mining and Technology (Beijing),China
1100,中国石油大学（北京）,China University of Petroleum (Beijing),China
1101,中国地质大学（北京）,China University of Geosciences (Beijing),China
1102,北京联合大学,Beijing Union University,China
1103,北京城市学院,Beijing City University,China
1104,中国青年政治学院,China Youth University for Political Sciences,China
1105,首钢工学院,Shougang Institute of Technology,China
1106,中国劳动关系学院,China Institute of Industrial Relations,China
1107,首都师范大学科德学院,Kede College  Capital Normal University,China
1108,北京金融科技学院,Beijing Institute of Fintech,China
1109,北京邮电大学世纪学院,Century College  Beijing University of Posts and Telecommunications,China
1110,北京工业大学耿丹学院,Gengdan Institute  Beijing University of Technology,China
1111,北京警察学院,Beijing People's Police College,China
1112,北京第二外国语学院中瑞酒店管理学院,Beijing Hospitality Institute  Beijing International Studies University,China
1113,中国科学院大学,University of Chinese Academy of Sciences,China
1114,中国社会科学院大学,University of Chinese Academy of Social Sciences,China
1115,民政职业大学,Minzheng Vocational University,China
1116,北京科技职业大学,Beijing Technology and Business University,China
1117,北京工业职业技术学院,Beijing Polytechnic College,China
1118,北京信息职业技术学院,Beijing Information Technology College,China
1119,北京京北职业技术学院,Beijing Jingbei Vocational and Technical College,China
1120,北京交通职业技术学院,Beijing Transport Vocational College,China
1121,北京青年政治学院,Beijing Youth Politics College,China
1122,北京农业职业学院,Beijing Vocational College of Agriculture,China
1123,北京政法职业学院,Beijing College of Politics and Law,China
1124,北京财贸职业学院,Beijing Finance and Commerce College,China
1125,北京北大方正软件职业技术学院,Beijing Founder Software Institute of Technology,China
1126,北京经贸职业学院,Beijing College of Economics and Trade,China
1127,北京经济技术职业学院,Beijing Vocational College of Economics and Technology,China
1128,北京戏曲艺术职业学院,Beijing Arts and Vocational College,China
1129,北京汇佳职业学院,Beijing Huijia Vocational College,China
1130,北京科技经营管理学院,Beijing College of Science  Technology and Management,China
1131,北京科技职业学院,Beijing Vocational College of Science and Technology,China
1132,北京培黎职业学院,Beijing Peili Vocational College,China
1133,北京经济管理职业学院,Beijing Vocational College of Economic Management,China
1134,北京劳动保障职业学院,Beijing Vocational College of Labor and Social Security,China
1135,北京艺术传媒职业学院,Beijing Vocational College of Art and Media,China
1136,北京体育职业学院,Beijing Sport Vocational College,China
1137,北京交通运输职业学院,Beijing Vocational College of Communications,China
1138,北京卫生职业学院,Beijing Health Vocational College,China
1139,北京网络职业学院,Beijing Vocational College of the Internet,China
1140,南开大学,Nankai University,China
1141,天津大学,Tianjin University,China
1142,天津科技大学,Tianjin University of Science and Technology,China
1143,天津工业大学,Tianjin Polytechnic University,China
1144,中国民航大学,Civil Aviation University of China,China
1145,天津理工大学,Tianjin University of Technology,China
1146,天津农学院,Tianjin Agricultural University,China
1147,天津医科大学,Tianjin Medical University,China
1148,天津中医药大学,Tianjin University of Traditional Chinese Medicine,China
1149,天津师范大学,Tianjin Normal University,China
1150,天津职业技术师范大学,Tianjin University of Technology and Education,China
1151,天津外国语大学,Tianjin Foreign Studies University,China
1152,天津商业大学,Tianjin University of Commerce,China
1153,天津财经大学,Tianjin University of Finance and Economics,China
1154,天津体育学院,Tianjin University of Sport,China
1155,天津音乐学院,Tianjin Conservatory of Music,China
1156,天津美术学院,Tianjin Academy of Fine Arts,China
1157,天津城建大学,Tianjin Chengjian University,China
1158,天津天狮学院,Tianshi College,China
1159,天津中德应用技术大学,Tianjin Sino-German University of Applied Sciences,China
1160,天津外国语大学滨海外事学院,Binhai School of Foreign Affairs  Tianjin Foreign Studies University,China
1161,天津传媒学院,Tianjin College of Media and Arts,China
1162,天津商业大学宝德学院,Boustead College  Tianjin University of Commerce,China
1163,天津医科大学临床医学院,Clinical Medical College  Tianjin Medical University,China
1164,南开大学滨海学院,Binhai College  Nankai University,China
1165,天津师范大学津沽学院,Jingu College  Tianjin Normal University,China
1166,天津理工大学中环信息学院,Zhonghuan Information College  Tianjin University of Technology,China
1167,北京科技大学天津学院,Tianjin College  University of Science and Technology Beijing,China
1168,天津仁爱学院,Tianjin Renai College,China
1169,天津财经大学珠江学院,Pearl River College  Tianjin University of Finance and Economics,China
1170,天津警察学院,Tianjin Police Academy,China
1171,天津市职业大学,Tianjin Vocational University,China
1172,天津滨海职业学院,Tianjin Binhai Vocational College,China
1173,天津工程职业技术学院,Tianjin Vocational Institute of Technology,China
1174,天津渤海职业技术学院,Tianjin Bohai Vocational Technical College,China
1175,天津电子信息职业技术学院,Tianjin Vocational Institute of Electronic Information,China
1176,天津机电职业技术学院,Tianjin Sino-German Vocational Technical College,China
1177,天津现代职业技术学院,Tianjin Modern Vocational Technology College,China
1178,天津轻工职业技术学院,Tianjin Light Industry Vocational Technical College,China
1179,天津商务职业学院,Tianjin Business College,China
1180,天津国土资源和房屋职业学院,Tianjin College of Land Resources and Housing,China
1181,天津医学高等专科学校,Tianjin Medical College,China
1182,天津开发区职业技术学院,Tianjin Economic-Technological Development Area (TEDA) College,China
1183,天津艺术职业学院,Tianjin Academy of Art and Design,China
1184,天津交通职业学院,Tianjin Transportation Vocational College,China
1185,天津工业职业学院,Tianjin Vocational College of Industry,China
1186,天津石油职业技术学院,Tianjin Petrochemical Vocational and Technical College,China
1187,天津城市职业学院,Tianjin Urban Vocational College,China
1188,天津铁道职业技术学院,Tianjin Railway Technical and Vocational College,China
1189,天津工艺美术职业学院,Tianjin Academy of Fine Arts and Design,China
1190,天津城市建设管理职业技术学院,Tianjin Vocational College of Urban Construction and Management,China
1191,天津生物工程职业技术学院,Tianjin Vocational Institute of Bioengineering,China
1192,天津海运职业学院,Tianjin Maritime College,China
1193,天津广播影视职业学院,Tianjin Radio  Film and Television Vocational College,China
1194,天津体育职业学院,Tianjin Vocational Institute of Sports,China
1195,天津滨海汽车工程职业学院,Tianjin Binhai Automotive Engineering Vocational College,China
1196,河北大学,Hebei University,China
1197,河北工程大学,Hebei University of Engineering,China
1198,河北地质大学,Hebei GEO University,China
1199,河北工业大学,Hebei University of Technology,China
1200,华北理工大学,North China University of Science and Technology,China
1201,河北科技大学,Hebei University of Science and Technology,China
1202,河北建筑工程学院,Hebei University of Architecture,China
1203,河北水利电力学院,Hebei University of Water Resources and Electric Engineering,China
1204,河北农业大学,Hebei Agricultural University,China
1205,河北医科大学,Hebei Medical University,China
1206,河北北方学院,Hebei North University,China
1207,承德医学院,Chengde Medical University,China
1208,河北师范大学,Hebei Normal University,China
1209,保定学院,Baoding University,China
1210,河北民族师范学院,Hebei Normal University for Nationalities,China
1211,唐山师范学院,Tangshan Normal University,China
1212,廊坊师范学院,Langfang Teachers University,China
1213,衡水学院,Hengshui University,China
1214,石家庄学院,Shijiazhuang University,China
1215,邯郸学院,Handan College,China
1216,邢台学院,Xingtai University,China
1217,沧州师范学院,Cangzhou Normal University,China
1218,石家庄铁道大学,Shijiazhuang Tiedao University,China
1219,燕山大学,Yanshan University,China
1220,河北科技师范学院,Hebei Normal University of Science and Technology,China
1221,唐山学院,Tangshan University,China
1222,华北科技学院,North China Institute of Science and Technology,China
1223,中国人民警察大学,Chinese People's Police University,China
1224,河北体育学院,Hebei Institute of Physical Education,China
1225,河北金融学院,Hebei Finance University,China
1226,北华航天工业学院,North China Institute of Aerospace Engineering,China
1227,防灾科技学院,Institute of Disaster Prevention,China
1228,河北经贸大学,Hebei University of Economics and Business,China
1229,中央司法警官学院,Central Institute for Correctional Police,China
1230,河北传媒学院,Hebei Institute of Communications,China
1231,河北工程技术学院,Hebei Polytechnic Institute,China
1232,河北美术学院,Hebei Academy of Fine Arts,China
1233,河北科技学院,Hebei College of Science and Technology,China
1234,河北外国语学院,Hebei Foreign Studies University,China
1235,河北大学工商学院,Industrial and Commercial College  Hebei University,China
1236,华北理工大学轻工学院,College of Light Industry  North China University of Science and Technology,China
1237,河北工业职业技术大学,Hebei University of Technology and Vocational Education,China
1238,河北师范大学汇华学院,Huihua College  Hebei Normal University,China
1239,河北经贸大学经济管理学院,College of Economics and Management  Hebei University of Economics and Business,China
1240,河北医科大学临床学院,Clinical College  Hebei Medical University,China
1241,河北科技工程职业技术大学,Hebei University of Science  Technology and Engineering,China
1242,河北工程大学科信学院,Kexin College  Hebei University of Engineering,China
1243,河北石油职业技术大学,Hebei Petroleum University of Technology,China
1244,燕山大学里仁学院,Liren College  Yanshan University,China
1245,石家庄铁道大学四方学院,Sifang College  Shijiazhuang Tiedao University,China
1246,河北地质大学华信学院,Huaxin College  Hebei GEO University,China
1247,河北农业大学现代科技学院,College of Modern Science and Technology  Hebei Agricultural University,China
